S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
17,ENGINEERING MECHANICS,A,3.0-1.0-0.0,,DIVIJ AGRAWAL,armaanbarad@am.iitd.ernet.in,MTh 09:30-11:00,,,250,467,APL100
18,INTR.TO MATERIAL SC. & ENGG.,E,3.0-0.0-2.0,,HRISHITA SAHA,bkar@mse.iitd.ac.in,TWF 10:00-11:00,,,300,131,APL102
19,MECHANICS OF SOLIDS AND FLUIDS,A,3.0-1.0-0.0,,SAMAIRA SUBRAMANIAN,tanya70@am.iitd.ac.in,MTh 08:00-09:30,MTThF 13:00-14:00,,150,122,APL105
20,COMPUTATIONAL MECHANICS,A,3.0-0.0-2.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,MTh 08:00-09:30,,,100,31,APL300
21,FINITE ELEMENT METHOD,B,3.0-0.0-2.0,,TUSHAR RANGANATHAN,taimurbedi@am.iitd.ac.in,MTh 09:30-11:00,,,100,48,APL705
22,ADVANCED FLUID MECHANICS,C,3.0-0.0-0.0,,JIVIKA BERA,randhawaanay@am.iitd.ac.in,TWF 08:00-09:00,,,50,12,APL711
23,TURBULENCE AND ITS MODELING,D,3.0-0.0-0.0,,TARINI CHOUDHRY,asaxena@am.iitd.ac.in,TWF 09:00-10:00,,,50,20,APL713
24,COMPUTATIONAL FLUID DYNAMICS,E,3.0-0.0-2.0,,DIYA KOHLI,aaryahi28@am.iitd.ac.in,TWF 10:00-11:00,,,50,22,APL720
25,MODERN ENGINEERING MATERIALS,A,3.0-0.0-0.0,,KIAAN GANESH,doraadah@mse.iitd.ac.in,MTh 08:00-09:30,,,50,13,APL750
26,ENGG. FAILURE ANALYSIS & PREV.,AC,3.0-0.0-0.0,,IVAN VARMA,surajayant@mse.iitd.ac.in,TF 14:00-15:30,,,40,14,APL767
27,MODELING AND ANALYSIS,AA,3.0-0.0-0.0,,SIYA SOOD,advik48@am.iitd.ac.in,MTh 14:00-15:30,,,40,9,APL774
28,ADVANCED SOLID MECHANICS,X,3.0-0.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,,,,50,16,APL796
29,PRODUCT RELIABILITY & MAINTENANCE,H,3.0-0.0-0.0,,KASHVI SUNDARAM,myra66@am.iitd.ac.in,M 11:00-12:00,,,60,30,APL871
30,MAJOR PROJECT PART 1 (BB1),P,0.0-0.0-6.0,,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,,,,30,4,BBD451
31,MAJOR PROJECT PART 2 (BB1),Q,0.0-0.0-16.0,,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,,,,100,0,BBD452
32,MAJOR PROJECT PART 1 (BB5),Q,0.0-0.0-12.0,,DHRUV KAR,elad@dbeb.iitd.ac.in,,,,60,0,BBD851
33,MAJOR PROJECT PART 2 (BB5),Q,0.0-0.0-28.0,,DHRUV KAR,elad@dbeb.iitd.ac.in,,,,60,5,BBD852
34,MAJOR PROJECT PART 1 (BB5),Q,0.0-0.0-8.0,,DHRUV KAR,elad@dbeb.iitd.ac.in,,,,60,0,BBD853
35,MAJOR PROJECT PART 2 (BB5),Q,0.0-0.0-32.0,,DHRUV KAR,elad@dbeb.iitd.ac.in,,,,60,11,BBD854
36,MAJOR PROJECT (MSR),Q,0.0-0.0-72.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,60,11,BBD895
37,ENVIRONMENTAL BIOTECHNOLOGY,H,3.0-0.0-0.0,DE,TARINI VENKATARAMAN,mahikagoswami@dbeb.iitd.ac.in,M 11:00-12:00,,,100,13,BBL341
38,BIOPROCESS TECHNOLOGY,J,2.0-0.0-0.0,DC,MANNAT ROY,bhamini77@dbeb.iitd.ac.in,MTW 12:00-13:00,,,100,77,BBL431
39,FLUID SOLID SYSTEMS,H,2.0-0.0-0.0,DC,PURAB WARRIOR,fsharma@dbeb.iitd.ac.in,M 11:00-12:00,,,100,56,BBL432
40,ENZYME SCIENCE AND ENGINEERING,D,3.0-0.0-2.0,DC,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,TWF 09:00-10:00,,,100,55,BBL433
41,BIOINFORMATICS,C,2.0-0.0-2.0,DC,MANNAT MAMMEN,dhruv94@dbeb.iitd.ac.in,TWF 08:00-09:00,,,100,73,BBL434
42,MODELING & SIMULATION OF BIO.,J,3.0-0.0-2.0,DE,DHRUV KAR,elad@dbeb.iitd.ac.in,MTW 12:00-13:00,,,100,13,BBL443
43,MEMBRANE APPLICATIONS IN BIO.,E,3.0-0.0-0.0,DE,NIRVAAN TRIVEDI,hunar60@dbeb.iitd.ac.in,TWF 10:00-11:00,,,100,33,BBL445
44,DYNAMICS OF MICROBIAL SYSTEMS,B,3.0-0.0-0.0,,TAIMUR SARAF,himmat68@dbeb.iitd.ac.in,MTh 09:30-11:00,,,60,27,BBL736
45,PLANT CELL TECHNOLOGY,K,3.0-0.0-2.0,,GOKUL SHANKER,iraborah@dbeb.iitd.ac.in,"W 12:00-13:00 ,TF 17:00-18:00",,,60,19,BBL740
46,BIOLOGICAL WASTE TREATMENT,D,3.0-0.0-2.0,,DIVIT CHADA,lavanyashenoy@dbeb.iitd.ac.in,TWF 09:00-10:00,,,60,32,BBL742
47,COMBINATORIAL BIOTECHNOLOGY,J,3.0-0.0-0.0,,INDRAJIT DHILLON,udua@dbeb.iitd.ac.in,MTW 12:00-13:00,,,60,25,BBL745
48,CURRENT TOPICS IN BIOCHEMICALENGINEERING AND BIOTE,H,3.0-0.0-0.0,,VIDUR SURI,qkari@dbeb.iitd.ac.in,M 11:00-12:00,,,60,15,BBL746
49,BIONANOTECHNOLOGY,E,3.0-0.0-0.0,,AARYAHI THAKER,amiradugar@dbeb.iitd.ac.in,TWF 10:00-11:00,,,60,22,BBL747
50,CANCER CELL BIOLOGY,F,3.0-0.0-3.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,TThF 11:00-12:00,,,60,36,BBL749
51,SEMINAR COURSE - I,Q,0.0-0.0-2.0,,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,,,,20,20,BBQ301
52,SEMINAR COURSE - II,Q,0.0-0.0-2.0,,TARINI VENKATARAMAN,mahikagoswami@dbeb.iitd.ac.in,,,,20,16,BBQ302
53,SEMINAR COURSE - III,Q,0.0-0.0-2.0,,VIDUR SURI,qkari@dbeb.iitd.ac.in,,,,20,20,BBQ303
54,MAJOR PROJECT,P,0.0-0.0-80.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,10,1,BED800
55,MINOR PROJECT,A,0.0-0.0-6.0,PC,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,25,CRD802
56,MAJOR PROJECT PART-I,Q,0.0-0.0-12.0,PC,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,1,CRD811
57,MAJOR PROJECT PART 2,Q,0.0-0.0-24.0,PC,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,22,CRD812
58,MAJOR PROJECT-III,Q,0.0-0.0-12.0,PC,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,1,CRD814
59,ARCHITECTURES AND ALGORITHMS FOR DSP SYSTEMS,E,2.0-0.0-4.0,PC,SAHIL YADAV,xvarty@care.iitd.ac.in,TWF 10:00-11:00,,,40,27,CRL702
60,SENSOR ARRAY SIGNAL PROCESSING,H,3.0-0.0-0.0,,ONKAR VAIDYA,badalsiya@care.iitd.ac.in,M 11:00-12:00,,,60,0,CRL704
61,SONARS,J,3.0-0.0-0.0,PE,INDRANS SHUKLA,qdass@care.iitd.ac.in,MTW 12:00-13:00,,,60,7,CRL706
62,RF AND MICROWAVE ACTIVE CIRCUITS,A,3.0-0.0-0.0,PE,TARA D’ALIA,edave@care.iitd.ac.in,MTh 08:00-09:30,,,60,25,CRL712
63,RF AND MICROWAVE SOLID STATE DEVICES,H,3.0-0.0-0.0,PE,NIRVAAN DEY,neelofar82@care.iitd.ac.in,M 11:00-12:00,,,60,10,CRL722
64,RF AND MICROWAVE MEASUREMENT SYSTEM TECHNIQUES,B,3.0-0.0-0.0,PC,JIVIN SARRAF,bhatiatejas@care.iitd.ac.in,MTh 09:30-11:00,,,60,27,CRL724
65,SELECTED TOPICS IN RFDT-II,D,3.0-0.0-0.0,PE,BADAL SHAN,lavanyatata@care.iitd.ac.in,TWF 09:00-10:00,,,60,8,CRL732
66,SPECIAL MODULE IN RADIO FREQUENCY DESIGN & TECH.-I,X,1.0-0.0-0.0,,SAHIL YADAV,xvarty@care.iitd.ac.in,,,,20,20,CRV742
67,PROJECT-II,Q,0.0-0.0-24.0,,ELA MAMMEN,tarinigara@cas.iitd.ac.in,,,,12,12,ASD882
68,FUNDAMENTALS OF WEATHER AND CLIMATE,F,3.0-0.0-0.0,PC,ADVIKA DEEP,ebalasubramanian@cas.iitd.ac.in,TThF 11:00-12:00,,,80,68,ASL340
69,INTRODUCTION TOOCEANOGRAPHY,B,3.0-0.0-0.0,,OORJA DADA,parinaaz85@cas.iitd.ac.in,MTh 09:30-11:00,,,80,71,ASL350
70,THE EARTH`S ATMOSPHERE: PHYSICAL PRINCIPLES,M,3.0-0.0-0.0,,ARADHYA RAMAKRISHNAN,anika44@cas.iitd.ac.in,MTh 17:00-18:30,,,80,80,ASL360
71,DYNAMICS OF THE ATMOSPHERE,H,3.0-0.0-0.0,,SHRAY KAPUR,kantlavanya@cas.iitd.ac.in,M 11:00-12:00,,,30,24,ASL734
72,SCIENCE OF CLIMATE CHANGE,J,3.0-0.0-0.0,,PIHU BORAH,chirag52@cas.iitd.ac.in,MTW 12:00-13:00,,,25,20,ASL736
73,PHYSICAL AND DYNAMICAL OCEANOGRAPHY,E,3.0-0.0-0.0,,RIYA MALHOTRA,gkar@cas.iitd.ac.in,TWF 10:00-11:00,,,25,14,ASL737
74,NUMERICAL MODELING OF THE ATMOSPHERE AND OCEAN,AD,2.0-0.0-2.0,,ELA MAMMEN,tarinigara@cas.iitd.ac.in,TF 15:30-17:00,,,16,14,ASL738
75,DISPERSION OF AIR POLLUTANTS,F,3.0-0.0-0.0,,OJAS DARA,shraychaudhry@cas.iitd.ac.in,TThF 11:00-12:00,,,40,21,ASL751
76,CLOUD PHYSICS,B,3.0-0.0-0.0,,MIRAYA IYENGAR,rbehl@cas.iitd.ac.in,MTh 09:30-11:00,,,50,7,ASL754
77,RENEWABLE ENERGY METEOROLOGY,M,3.0-0.0-0.0,,NAKUL KOTA,yakshit51@cas.iitd.ac.in,MTh 17:00-18:30,,,25,5,ASL760
78,ADVANCED DATA ANALYSIS FOR WEATHER AND CLIMATE,K,1.0-0.0-4.0,,KHUSHI BATTA,arnav12@cas.iitd.ac.in,"W 12:00-13:00 ,TF 17:00-18:00",,,15,11,ASP820
79,MAJOR PROJECT-2,X,0.0-0.0-24.0,PC,IRA HAYRE,himmat79@cbme.iitd.ac.in,,,,60,7,BMD802
80,BIOMEDICAL SIGNAL AND IMAGE PR,AD,2.0-0.0-2.0,PE,DISHANI KUNDA,cherianseher@cbme.iitd.ac.in,TF 15:30-17:00,,,60,35,BML735
81,APPLICATIONS OF MATHEMATICS IN BIOMEDICAL ENG.,D,2.0-0.0-0.0,PC,DISHANI KUNDA,cherianseher@cbme.iitd.ac.in,TWF 09:00-10:00,,,60,16,BML737
82,BIOMEDICAL INSTRUMENTATION,E,3.0-0.0-0.0,PC,PRERAK SRINIVASAN,anahitachanda@cbme.iitd.ac.in,TWF 10:00-11:00,,,60,17,BML740
83,POINT OF CARE MEDICAL DIAG DEV,F,3.0-0.0-0.0,PE,MADHAV KONDA,jaggikartik@cbme.iitd.ac.in,TThF 11:00-12:00,,,60,4,BML750
84,"BIOMEDICAL ETHICS, SAFETY AND REGULATORY AFFAIRS",B,2.0-0.0-0.0,PC,MADHAV KONDA,jaggikartik@cbme.iitd.ac.in,MTh 09:30-11:00,,,60,9,BML760
85,ORTHOPAEDIC DEVICE DESIGN,H,2.0-0.0-0.0,PE,ZAIN BUTALA,bbahl@cbme.iitd.ac.in,M 11:00-12:00,,,60,8,BML771
86,BIOMATERIALS,J,3.0-0.0-0.0,PE,SHRAY JOHAL,zeeshan90@cbme.iitd.ac.in,MTW 12:00-13:00,,,60,8,BML820
87,NANOMEDICINE,K,3.0-0.0-0.0,PE,AAYUSH BATRA,eva24@cbme.iitd.ac.in,"W 12:00-13:00 ,TF 17:00-18:00",,,60,9,BML860
88,BASIC BIOMEDICAL LABORATORY,X,0.0-0.0-4.0,PC,IRA HAYRE,himmat79@cbme.iitd.ac.in,,,,60,7,BMP743
89,SELF-ORGANIZING DYNAMICAL SYSTEMS,J,3.0-0.0-0.0,,YUVAAN GODA,arhaan59@ces.iitd.ac.in,MTW 12:00-13:00,,,60,61,ESL300
90,"ENERGY, ECOLOGY AND ENVIRONMENT",D,3.0-1.0-0.0,,MANJARI THAKER,reyansh21@ces.iitd.ac.in,TWF 09:00-10:00,MTThF 14:00-15:00,,60,61,ESL330
91,NON CONVENTIONAL SOURCES OF ENERGY,E,3.0-0.0-2.0,,MADHUP KAPADIA,zaina04@ces.iitd.ac.in,TWF 10:00-11:00,,,60,15,ESL340
92,ENERGY CONSERVATION MANAGEMENT,X,3.0-0.0-0.0,,LAGAN WALI,raghav54@ces.iitd.ac.in,MTh 17:00-18:30,,,75,62,ESL350
93,DIRECT ENERGY CONVERSION,F,3.0-1.0-0.0,,NAKUL DHALIWAL,piya67@ces.iitd.ac.in,TThF 11:00-12:00,MTThF 13:00-14:00,,60,16,ESL360
94,"ENERGY,ECOLOGY AND ENVIRONMENT",D,3.0-0.0-0.0,,ZEESHAN TATA,anika91@ces.iitd.ac.in,TWF 09:00-10:00,,,60,33,ESL710
95,POWER PLANT ENGG.,H,3.0-0.0-0.0,,SANA DEEP,ehsaanraval@ces.iitd.ac.in,M 11:00-12:00,,,60,14,ESL714
96,"POWER GENERATION ,TRANSMISSION & DISTRIBUTION",M,3.0-0.0-0.0,,YAKSHIT GOLE,ehsaan29@ces.iitd.ac.in,MTh 17:00-18:30,,,60,12,ESL718
97,DIRECT ENERGY CONVERSION,B,3.0-0.0-0.0,,ARNAV LAL,samarthchauhan@ces.iitd.ac.in,MTh 09:30-11:00,,,60,21,ESL730
98,NUCLEAR ENERGY,E,3.0-0.0-0.0,,NAKUL DHALIWAL,piya67@ces.iitd.ac.in,TWF 10:00-11:00,,,60,12,ESL734
99,ECONOMICS & PLANNING OF ENERGY SYSTEMS,A,3.0-0.0-0.0,,JIVIKA TATA,gandhiryan@ces.iitd.ac.in,MTh 08:00-09:30,,,60,27,ESL750
100,SOLAR PHOTOVOLTAIC DEVICES AND SYSTEMS,F,3.0-0.0-0.0,,ONKAR KAUR,yuvraj-grewal@ces.iitd.ac.in,TThF 11:00-12:00,,,60,13,ESL755
101,OPERATION AND CONTROL OF ELECTRICAL ENERGY SYSTEMS,AA,3.0-0.0-0.0,,GOKUL BIR,zoya26@ces.iitd.ac.in,MTh 14:00-15:30,,,60,8,ESL796
102,SOLAR ARCHITECTURE,AA,3.0-0.0-0.0,,LAGAN WALI,raghav54@ces.iitd.ac.in,MTh 14:00-15:30,,,60,7,ESL840
103,ADVANCED FUSION ENERGY,F,3.0-0.0-0.0,,YUVAAN GODA,arhaan59@ces.iitd.ac.in,TThF 11:00-12:00,,,60,11,ESL871
104,SOLAR THERMAL POWER GENERATION,M,3.0-0.0-0.0,,MADHUP KAPADIA,zaina04@ces.iitd.ac.in,MTh 17:00-18:30,,,60,11,ESL880
105,ENERGY LABORATORY,P,0.0-0.0-6.0,PC,VIHAAN CHANDA,bhandarizoya@ces.iitd.ac.in,,,,35,21,ESP713
106,SEMINAR COURSE ON RENEWABLE ENERGY,X,0.0-0.0-2.0,,ONKAR KAUR,yuvraj-grewal@ces.iitd.ac.in,,,,25,26,ESQ301
107,SEMINAR COURSE ON ENERGY CONSERVATION AND MANAGEMENT,X,0.0-0.0-2.0,,GOKUL BIR,zoya26@ces.iitd.ac.in,,,,25,24,ESQ303
108,SEMINAR COURSE ON PLASMA SCIENCE AND TECHNOLOGY,X,0.0-0.0-2.0,,ARNAV LAL,samarthchauhan@ces.iitd.ac.in,,,,25,24,ESQ304
109,SEMINAR COURSE ON BIOENERGY,X,0.0-0.0-2.0,,LAGAN WALI,raghav54@ces.iitd.ac.in,,,,25,17,ESQ306
110,SEMINAR COURSE ON NUCLEARENERGY AND FUTURISTIC USE,X,0.0-0.0-2.0,,YUVAAN GODA,arhaan59@ces.iitd.ac.in,,,,25,25,ESQ307
111,SEMINAR COURSE ONENERGY-ENVIRONMENT INTERACTION,X,0.0-0.0-2.0,,MADHUP KAPADIA,zaina04@ces.iitd.ac.in,,,,25,22,ESQ308
112,SEMINAR COURSE ON ALTERNATIVEFUELS FOR TRANSPORTAT,X,0.0-0.0-2.0,,ZEESHAN TATA,anika91@ces.iitd.ac.in,,,,25,23,ESQ309
113,NGU: SEMINAR COURSE ON MULTIPHASE FLOWS IN THE ENERGY SECTOR,X,0.0-0.0-2.0,,VIHAAN CHANDA,bhandarizoya@ces.iitd.ac.in,,,,25,4,ESQ310
114,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,PC,ARNAV LAL,samarthchauhan@ces.iitd.ac.in,,,,35,0,JSD801
115,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,PE,ARNAV LAL,samarthchauhan@ces.iitd.ac.in,,,,35,6,JSD802
116,MINOR PROJECT,Q,0.0-0.0-6.0,OE,ABRAM KOHLI,hazel70@rdat.iitd.ac.in,,,,20,1,RDD750
117,BIOMAS PRODUCTION,J,3.0-0.0-0.0,OE,ABRAM KOHLI,hazel70@rdat.iitd.ac.in,MTW 12:00-13:00,,,60,49,RDL700
118,RURAL INDUSTRIALISATION POLICES PROGRAMMES & CASE,E,3.0-0.0-0.0,OE,DHARMAJAN KAPADIA,suleahana@rdat.iitd.ac.in,TWF 10:00-11:00,,,100,99,RDL701
119,RURAL INDIA AND PLANNING FOR DEVELOPMENT,J,3.0-0.0-0.0,OE,ADVIKA SUBRAMANIAM,zbabu@rdat.iitd.ac.in,MTW 12:00-13:00,,,50,65,RDL710
120,RURAL ENERGY SYSTEMS,F,3.0-0.0-0.0,OE,EVA RAVEL,fhari@rdat.iitd.ac.in,TThF 11:00-12:00,,,100,102,RDL722
121,"HERBAL,MEDICINAL ANDAROMATIC PRODUCTS",M,3.0-0.0-0.0,OE,YUVAAN RAMASWAMY,pihu31@rdat.iitd.ac.in,MTh 17:00-18:30,,,30,30,RDL726
122,TECHNOLOGY OF UTILIZATION OF WASTELANDS & WEEDS,AA,3.0-0.0-0.0,OE,HANSH GULATI,farhan70@rdat.iitd.ac.in,MTh 14:00-15:30,,,50,44,RDL740
123,FOOD QUALITY AND SAFETY,J,3.0-0.0-0.0,OE,RANBIR VARGHESE,gandhidiya@rdat.iitd.ac.in,MTW 12:00-13:00,,,50,55,RDL760
124,BIOMASS LABORATORY,Q,0.0-0.0-6.0,OE,ABRAM KOHLI,hazel70@rdat.iitd.ac.in,,,,20,13,RDP750
125,SEMINAR COURSE - I,X,0.0-0.0-2.0,OE,DAMINI DIXIT,elakshitripathi@rdat.iitd.ac.in,,,,30,32,RDQ301
126,SEMINAR COURSE - II,X,0.0-0.0-2.0,OE,YUVAAN RAMASWAMY,pihu31@rdat.iitd.ac.in,,,,30,33,RDQ302
127,SEMINAR COURSE - III,X,0.0-0.0-2.0,OE,ADVIKA SUBRAMANIAM,zbabu@rdat.iitd.ac.in,,,,30,34,RDQ303
128,SEMINAR COURSE-IV,X,0.0-0.0-2.0,OE,ALISHA VARTY,handasamaira@rdat.iitd.ac.in,,,,30,31,RDQ304
129,SEMINAR COURSE-V,X,0.0-0.0-2.0,OE,DHARMAJAN KAPADIA,suleahana@rdat.iitd.ac.in,,,,30,44,RDQ305
130,MINOR PROJECT,Q,0.0-0.0-8.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,0,CHD771
131,MAJOR PROJECT PART 1 (CM),Q,0.0-0.0-12.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,2,CHD871
132,MAJOR PROJECT PART II (CM),Q,0.0-0.0-28.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,1,CHD872
133,MAJOR PROJECT PART 1 (CM),Q,0.0-0.0-8.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,0,CHD873
134,MAJOR PROJECT PART 2 (CM),Q,0.0-0.0-32.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,0,CHD874
135,B. TECH. PROJECT,Q,0.0-0.0-8.0,DC,RYAN MANI,seshadribiju@chemical.iitd.ac.in,,,,100,13,CLD411
136,MAJOR PROJECT IN ENERGY & ENV.,Q,0.0-0.0-10.0,DE,RYAN MANI,seshadribiju@chemical.iitd.ac.in,,,,100,5,CLD412
137,MAJOR PROJECT IN COMPLEX FLUID,Q,0.0-0.0-10.0,DE,RYAN MANI,seshadribiju@chemical.iitd.ac.in,,,,100,0,CLD413
138,"MAJOR PROJ. IN P.E, MOD. & OP.",Q,0.0-0.0-10.0,DE,RYAN MANI,seshadribiju@chemical.iitd.ac.in,,,,100,0,CLD414
139,MAJOR PROJ IN BIOP. & FINE CH.,Q,0.0-0.0-10.0,DE,RYAN MANI,seshadribiju@chemical.iitd.ac.in,,,,100,3,CLD415
140,MINOR PROJECT,Q,0.0-0.0-6.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,32,CLD771
141,MAJOR PROJECT - I,Q,0.0-0.0-16.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,1,CLD781
142,MAJOR PROJECT - II,Q,0.0-0.0-24.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,15,CLD782
143,MINOR PROJECT,Q,0.0-0.0-8.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,42,CLD880
144,MAJOR PROJECT PARTI,Q,0.0-0.0-16.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,2,CLD881
145,MAJOR PROJECT PARTII,Q,0.0-0.0-24.0,PC,AHANA  GOYAL,aaryahikari@chemical.iitd.ac.in,,,,60,39,CLD882
146,CHEMICAL ENGG. THERMODYNAMICS,A,3.0-1.0-0.0,DC,ADVIK BERA,jdua@chemical.iitd.ac.in,MTh 08:00-09:30,MTThF 13:00-14:00,,100,143,CLL121
147,CHEMICAL REACTION ENGG I,D,3.0-1.0-0.0,DC,DAMINI DATTA,azadbarad@chemical.iitd.ac.in,TWF 09:00-10:00,MTThF 14:00-15:00,,100,178,CLL122
148,FLUID MECHS. FOR CHEM. ENGINEE,F,3.0-1.0-0.0,DC,RYAN MANI,seshadribiju@chemical.iitd.ac.in,TThF 11:00-12:00,MTThF 13:00-14:00,,100,194,CLL231
149,HEAT TRANSFER FOR CHEMICAL ENG,B,3.0-1.0-0.0,DC,IVANA ANDRA,madhav67@chemical.iitd.ac.in,MTh 09:30-11:00,,,100,187,CLL251
150,INTRO TO INDUSTRIAL BIOTECH.,D,3.0-0.0-0.0,DC,VEER ARORA,romilcheema@chemical.iitd.ac.in,TWF 09:00-10:00,,,100,108,CLL271
151,MASS TRANSFER II,B,3.0-1.0-0.0,DC,ANYA RANA,jhanvi57@chemical.iitd.ac.in,MTh 09:30-11:00,,,100,118,CLL352
152,INSTRUMENTATION AND AUTOMATION,C,1.0-0.0-3.0,DC,HRIDAAN CHOUDHARY,amirakuruvilla@chemical.iitd.ac.in,TWF 08:00-09:00,,,100,106,CLL361
153,CHEM. PROCESS TECH.& ECONOMICS,E,3.0-1.0-0.0,DC,SARA RAMAKRISHNAN,riaan23@chemical.iitd.ac.in,TWF 10:00-11:00,MTThF 13:00-14:00,,100,127,CLL371
154,PROCESS PLANT DESIGN,D,3.0-0.0-0.0,DE,INAAYA  RAY,dalalivana@chemical.iitd.ac.in,TWF 09:00-10:00,,,50,12,CLL402
155,SAFETY & HAZARDS IN PROC. IND.,B,3.0-0.0-0.0,DE,ADIRA HALDER,xmadan@chemical.iitd.ernet.in,MTh 09:30-11:00,,,50,25,CLL475
156,ELECTROCHEM. CONV. & STO. DEV.,B,3.0-0.0-0.0,,SHAAN RAJAN,isinha@chemical.iitd.ernet.in,MTh 09:30-11:00,,,50,36,CLL722
157,HETERO. CATALYSIS & CATA. REA.,E,3.0-0.0-0.0,,ANIRUDDH WALIA,karpevedika@chemical.iitd.ac.in,TWF 10:00-11:00,,,50,40,CLL727
158,ADVANCED TRANSPORT PHENOMENA,A,3.0-0.0-0.0,,SAHIL THAKUR,nvasa@chemical.iitd.ac.in,MTh 08:00-09:30,,,60,100,CLL731
159,ADV. CHE. ENGG. THERMODYNAMICS,AA,3.0-0.0-0.0,,ELA SARRAF,sampathadah@chemical.iitd.ac.in,MTh 14:00-15:30,,,60,18,CLL732
160,INDUSTRIAL MULTIPHASE REACTORS,H,3.0-0.0-0.0,"PC,DE,PE",JIVIN DUGAL,sahabaiju@chemical.iitd.ac.in,M 11:00-12:00,,,110,111,CLL733
