S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
19,ENGINEERING MECHANICS,A,3.0-1.0-0.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,MTh 09:30-11:00,,,250,568,APL100
20,INTR.TO MATERIAL SC. & ENGG.,E,3.0-0.0-2.0,,PRANAY DUA,nishithwalia@mse.iitd.ac.in,TWF 10:00-11:00,,,300,134,APL102
21,EXPERIMENTAL METHODS,SU1,3.0-0.0-2.0,,ANAHI GHOSH,rhea45@am.iitd.ac.in,,,,0,0,APL103
22,MECHANICS OF SOLIDS AND FLUIDS,A,3.0-1.0-0.0,,SAANVI BORA,bhasindivyansh@am.iitd.ac.in,MTh 08:00-09:30,MTThF 13:00-14:00,,150,105,APL105
23,FINITE ELEMENT METHOD,B,3.0-0.0-2.0,,SAMIHA SURESH,dashalia@cc.iitd.ernet.in,MTh 09:30-11:00,,,60,50,APL705
24,ADVANCED FLUID MECHANICS,C,3.0-0.0-0.0,,EMIR BHATIA,divit70@am.iitd.ac.in,TWF 08:00-09:00,,,50,27,APL711
25,PHYSICS OF TURBULENT FLOWS,J,3.0-0.0-0.0,,AARNA THAMAN,kalashray@am.iitd.ac.in,MTW 12:00-13:00,,,50,29,APL715
26,COMPUTATIONAL FLUID DYNAMICS,E,3.0-0.0-2.0,,DIYA KOHLI,aaryahi28@am.iitd.ac.in,TWF 10:00-11:00,,,33,32,APL720
27,ADVANCED SOLID MECHANICS,A,3.0-0.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,MTh 08:00-09:30,,,50,21,APL796
28,PRODUCT RELIABILITY & MAINTENANCE,H,3.0-0.0-0.0,,KASHVI SUNDARAM,myra66@am.iitd.ac.in,M 11:00-12:00,,,60,30,APL871
29,Musculoskeletal Biomechanics,X,1.0-0.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,,,,50,9,APV750
30,Planar Contact Mechanics,X,1.0-0.0-0.0,,STUVAN LATA,somantushar@am.iitd.ac.in,,,,20,5,APV808
31,MAJOR PROJECT (MSR),P,0.0-0.0-72.0,,DARSHIT BATRA,jbarman@ee.iitd.ac.in,,,,30,2,BSD895
32,MAJOR PROJECT PART 1 (BB1),P,0.0-0.0-6.0,,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,,,,30,5,BBD451
33,MAJOR PROJECT PART 2 (BB1),Q,0.0-0.0-16.0,,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,,,,100,1,BBD452
34,MAJOR PROJECT PART 1 (BB5),Q,0.0-0.0-12.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,60,0,BBD851
35,MAJOR PROJECT PART 2 (BB5),Q,0.0-0.0-28.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,60,4,BBD852
36,MAJOR PROJECT PART 1 (BB5),Q,0.0-0.0-8.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,60,0,BBD853
37,MAJOR PROJECT PART 2 (BB5),Q,0.0-0.0-32.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,60,8,BBD854
38,MAJOR PROJECT (MSR),Q,0.0-0.0-72.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,,,,60,10,BBD895
39,ENVIRONMENTAL BIOTECHNOLOGY,B,3.0-0.0-0.0,,VIDUR SURI,qkari@dbeb.iitd.ac.in,MTh 09:30-11:00,,,100,23,BBL341
40,BIOPROCESS TECHNOLOGY,J,2.0-0.0-0.0,DC,MANNAT ROY,bhamini77@dbeb.iitd.ac.in,MTW 12:00-13:00,,,100,56,BBL431
41,FLUID SOLID SYSTEMS,H,2.0-0.0-0.0,,DIVIT CHADA,lavanyashenoy@dbeb.iitd.ac.in,M 11:00-12:00,,,100,62,BBL432
42,ENZYME SCIENCE AND ENGINEERING,D,3.0-0.0-2.0,DC,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,TWF 09:00-10:00,,,100,59,BBL433
43,ENZYME SCIENCE AND ENGINEERING,X,3.0-0.0-2.0,,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,,,,0,0,BBL433
44,BIOINFORMATICS,F,2.0-0.0-2.0,,VEDIKA KADE,nakultank@dbeb.iitd.ac.in,TThF 11:00-12:00,,,100,44,BBL434
45,BIOINFORMATICS,X,2.0-0.0-2.0,,VEDIKA KADE,nakultank@dbeb.iitd.ac.in,,,,0,0,BBL434
46,MEMBRANE APPLICATIONS IN BIO.,J,3.0-0.0-0.0,,NIRVAAN TRIVEDI,hunar60@dbeb.iitd.ac.in,MTW 12:00-13:00,,,100,55,BBL445
47,BIOPROCESS PLANT DESIGN,X,3.0-0.0-2.0,,DIVIT CHADA,lavanyashenoy@dbeb.iitd.ac.in,,,,0,0,BBL732
48,RECOMBINANT DNA TECHNOLOGY,X,2.0-0.0-3.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,0,0,BBL733
49,DYNAMICS OF MICROBIAL SYSTEMS,B,3.0-0.0-0.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,MTh 09:30-11:00,,,60,19,BBL736
50,DYNAMICS OF MICROBIAL SYSTEMS,SU1,3.0-0.0-0.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,,,,0,0,BBL736
51,PLANT CELL TECHNOLOGY,F,3.0-0.0-2.0,,GOKUL SHANKER,iraborah@dbeb.iitd.ac.in,TThF 11:00-12:00,,,60,13,BBL740
52,BIOLOGICAL WASTE TREATMENT,B,3.0-0.0-2.0,,DIVIT CHADA,lavanyashenoy@dbeb.iitd.ac.in,MTh 09:30-11:00,,,60,11,BBL742
53,BIOLOGICAL WASTE TREATMENT,SU1,3.0-0.0-2.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,,,,0,0,BBL742
54,COMBINATORIAL BIOTECHNOLOGY,J,3.0-0.0-0.0,,INDRAJIT DHILLON,udua@dbeb.iitd.ac.in,MTW 12:00-13:00,,,60,17,BBL745
55,CURRENT TOPICS IN BIOCHEMICALENGINEERING AND BIOTE,H,3.0-0.0-0.0,,OJAS KULKARNI,nirvi47@dbeb.iitd.ac.in,M 11:00-12:00,,,60,28,BBL746
56,BIONANOTECHNOLOGY,E,3.0-0.0-0.0,,AARYAHI THAKER,amiradugar@dbeb.iitd.ac.in,TWF 10:00-11:00,,,60,42,BBL747
57,CANCER CELL BIOLOGY,F,3.0-0.0-3.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,TThF 11:00-12:00,,,60,39,BBL749
58,Microbial Ecology,H,3.0-0.0-0.0,,TARINI VENKATARAMAN,mahikagoswami@dbeb.iitd.ac.in,M 11:00-12:00,,,60,19,BBL752
59,SEMINAR COURSE - I,Q,0.0-0.0-2.0,,MANNAT MAMMEN,dhruv94@dbeb.iitd.ac.in,,,,20,20,BBQ301
60,SEMINAR COURSE - II,Q,0.0-0.0-2.0,,PURAB WARRIOR,fsharma@dbeb.iitd.ac.in,,,,21,24,BBQ302
61,SEMINAR COURSE - III,Q,0.0-0.0-2.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,,,,40,41,BBQ303
62,MAJOR PROJECT,P,0.0-0.0-80.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,,,,10,0,BED800
63,MINOR PROJECT,A,0.0-0.0-6.0,,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,29,CRD802
64,MAJOR PROJECT PART-I,Q,0.0-0.0-12.0,,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,0,CRD811
65,MAJOR PROJECT PART 2,Q,0.0-0.0-24.0,,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,22,CRD812
66,MAJOR PROJECT-III,Q,0.0-0.0-12.0,,RAGHAV CHOPRA,pranay28@care.iitd.ac.in,,,,60,3,CRD814
67,ARCHITECTURES AND ALGORITHMS FOR DSP SYSTEMS,E,2.0-0.0-4.0,,ONKAR VAIDYA,badalsiya@care.iitd.ac.in,TWF 10:00-11:00,,,40,30,CRL702
68,SENSOR ARRAY SIGNAL PROCESSING,X,3.0-0.0-0.0,,SAHIL YADAV,xvarty@care.iitd.ac.in,,,,60,13,CRL704
69,SONARS,J,3.0-0.0-0.0,PE,INDRANS SHUKLA,qdass@care.iitd.ac.in,MTW 12:00-13:00,,,60,6,CRL706
70,RF AND MICROWAVE ACTIVE CIRCUITS,A,3.0-0.0-0.0,,RANIA BORDE,mammengatik@care.iitd.ac.in,MTh 08:00-09:30,,,60,12,CRL712
71,RF AND MICROWAVE SOLID STATE DEVICES,F,3.0-0.0-0.0,,NIRVAAN DEY,neelofar82@care.iitd.ac.in,TThF 11:00-12:00,,,60,23,CRL722
72,RF AND MICROWAVE MEASUREMENT SYSTEM TECHNIQUES,B,3.0-0.0-0.0,,ARNAV KORPAL,majumdarhrishita@care.iitd.ac.in,MTh 09:30-11:00,,,60,33,CRL724
73,RF MEMS DESIGN AND TECHNOLOGY,D,3.0-0.0-0.0,,BADAL SHAN,lavanyatata@care.iitd.ac.in,TWF 09:00-10:00,,,25,8,CRL726
74,PROJECT-II,Q,0.0-0.0-24.0,,KHUSHI BATTA,arnav12@cas.iitd.ac.in,,,,12,6,ASD882
75,FUNDAMENTALS OF WEATHER AND CLIMATE,F,3.0-0.0-0.0,PC,ADVIKA DEEP,ebalasubramanian@cas.iitd.ac.in,TThF 11:00-12:00,,,80,82,ASL340
76,INTRODUCTION TOOCEANOGRAPHY,J,3.0-0.0-0.0,,OORJA DADA,parinaaz85@cas.iitd.ac.in,MTW 12:00-13:00,,,50,49,ASL350
77,PHYSICS OF THE ATMOSPHERE,F,3.0-0.0-0.0,,TIYA RAVEL,jayan11@cas.iitd.ac.in,TThF 11:00-12:00,,,30,9,ASL733
78,DYNAMICS OF THE ATMOSPHERE,H,3.0-0.0-0.0,,SHRAY KAPUR,kantlavanya@cas.iitd.ac.in,M 11:00-12:00,,,35,3,ASL734
79,SCIENCE OF CLIMATE CHANGE,J,3.0-0.0-0.0,,PIHU BORAH,chirag52@cas.iitd.ac.in,MTW 12:00-13:00,,,30,16,ASL736
80,PHYSICAL AND DYNAMICAL OCEANOGRAPHY,F,3.0-0.0-0.0,,RIYA MALHOTRA,gkar@cas.iitd.ac.in,TThF 11:00-12:00,,,25,15,ASL737
81,NUMERICAL MODELING OF THE ATMOSPHERE AND OCEAN,AA,2.0-0.0-2.0,,NAKUL KOTA,yakshit51@cas.iitd.ac.in,MTh 14:00-15:30,,,18,14,ASL738
82,DISPERSION OF AIR POLLUTANTS,E,3.0-0.0-0.0,,OJAS DARA,shraychaudhry@cas.iitd.ac.in,TWF 10:00-11:00,,,40,12,ASL751
83,CLOUD PHYSICS,B,3.0-0.0-0.0,,MIRAYA IYENGAR,rbehl@cas.iitd.ac.in,MTh 09:30-11:00,,,50,7,ASL754
84,TROPICAL WEATHER AND CLIMATE,D,3.0-0.0-0.0,,KHUSHI BATTA,arnav12@cas.iitd.ac.in,TWF 09:00-10:00,,,50,25,ASL757
85,ADVANCED DATA ANALYSIS FOR WEATHER AND CLIMATE,AC,1.0-0.0-4.0,,NITYA RATTAN,hiranbutala@cas.iitd.ac.in,TF 14:00-15:30,,,18,16,ASP820
86,MINOR BIODESIGN PROJECT,X,0.0-0.0-8.0,,RHEA VARGHESE,kabir73@cbme.iitd.ac.in,,,,30,1,BMD742
87,MAJOR PROJECT-2,X,0.0-0.0-24.0,PC,IRA HAYRE,himmat79@cbme.iitd.ac.in,,,,60,6,BMD802
88,BIOMEDICAL SIGNAL AND IMAGE PR,AD,2.0-0.0-2.0,PE,DISHANI KUNDA,cherianseher@cbme.iitd.ac.in,TF 15:30-17:00,,,60,62,BML735
89,APPLICATIONS OF MATHEMATICS IN BIOMEDICAL ENG.,F,2.0-0.0-0.0,,DISHANI KUNDA,cherianseher@cbme.iitd.ac.in,TThF 11:00-12:00,,,60,12,BML737
90,BIOMEDICAL INSTRUMENTATION,E,3.0-0.0-0.0,PC,PRERAK SRINIVASAN,anahitachanda@cbme.iitd.ac.in,TWF 10:00-11:00,,,60,11,BML740
91,POINT OF CARE MEDICAL DIAG DEV,D,3.0-0.0-0.0,,MADHAV KONDA,jaggikartik@cbme.iitd.ac.in,TWF 09:00-10:00,,,60,3,BML750
92,"BIOMEDICAL ETHICS, SAFETY AND REGULATORY AFFAIRS",B,2.0-0.0-0.0,PC,MADHAV KONDA,jaggikartik@cbme.iitd.ac.in,MTh 09:30-11:00,,,60,11,BML760
93,ORTHOPAEDIC DEVICE DESIGN,H,2.0-0.0-0.0,PE,ZAIN BUTALA,bbahl@cbme.iitd.ac.in,M 11:00-12:00,,,60,11,BML771
94,MODERN MEDICINE: AN ENGINEERING PERSPECTIVE,AC,2.0-1.0-0.0,,RHEA VARGHESE,kabir73@cbme.iitd.ac.in,TF 14:00-15:30,,,50,4,BML791
95,SELECTED TOPICS IN BIOMEDICAL ENGINEERING,X,2.0-0.0-0.0,,NITYA SACHDEVA,tdhingra@cbme.iitd.ac.in,,,,30,15,BML815
96,BIOMATERIALS,J,3.0-0.0-0.0,PE,SHRAY JOHAL,zeeshan90@cbme.iitd.ac.in,MTW 12:00-13:00,,,60,13,BML820
97,NANOMEDICINE,K,3.0-0.0-0.0,PE,AAYUSH BATRA,eva24@cbme.iitd.ac.in,"W 12:00-13:00 ,TF 17:00-18:00",,,60,17,BML860
98,BASIC BIOMEDICAL LABORATORY,X,0.0-0.0-4.0,PC,IRA HAYRE,himmat79@cbme.iitd.ac.in,,,,60,8,BMP743
99,SELF-ORGANIZING DYNAMICAL SYSTEMS,J,3.0-0.0-0.0,,YUVAAN GODA,arhaan59@ces.iitd.ac.in,MTW 12:00-13:00,,,60,41,ESL300
100,"ENERGY, ECOLOGY AND ENVIRONMENT",D,3.0-1.0-0.0,,MANJARI THAKER,reyansh21@ces.iitd.ac.in,TWF 09:00-10:00,MTThF 14:00-15:00,,60,60,ESL330
101,ENERGY CONSERVATION MANAGEMENT,X,3.0-0.0-0.0,,LAGAN WALI,raghav54@ces.iitd.ac.in,,,,75,51,ESL350
102,"ENERGY,ECOLOGY AND ENVIRONMENT",C,3.0-0.0-0.0,,KARTIK KAPADIA,gadeheer@ces.iitd.ac.in,TWF 08:00-09:00,,,60,32,ESL710
103,POWER PLANT ENGG.,AC,3.0-0.0-0.0,,VIHAAN CHANDA,bhandarizoya@ces.iitd.ac.in,TF 14:00-15:30,,,60,0,ESL714
104,POWER PLANT ENGG.,SU1,3.0-0.0-0.0,,SANA DEEP,ehsaanraval@ces.iitd.ac.in,,,,0,0,ESL714
105,"POWER GENERATION ,TRANSMISSION & DISTRIBUTION",M,3.0-0.0-0.0,,JIVIN BHASIN,mangalzara@ces.iitd.ac.in,MTh 17:00-18:30,,,60,22,ESL718
106,Renewable Energy and Environment,F,3.0-0.0-0.0,,ELA KAPOOR,zara84@ces.iitd.ac.in,TThF 11:00-12:00,,,60,21,ESL729
107,DIRECT ENERGY CONVERSION,B,3.0-0.0-0.0,,NAKUL DHALIWAL,piya67@ces.iitd.ac.in,MTh 09:30-11:00,,,60,28,ESL730
108,NUCLEAR ENERGY,E,3.0-0.0-0.0,,NAKUL DHALIWAL,piya67@ces.iitd.ac.in,TWF 10:00-11:00,,,60,11,ESL734
109,Plasma for Energy and Environment,AB,3.0-0.0-0.0,,KARTIK KAPADIA,gadeheer@ces.iitd.ac.in,MTh 15:30-17:00,,,60,3,ESL744
110,Developing Energy Efficiency and Renewable Energy Projects,AA,3.0-0.0-0.0,,JIVIKA TATA,gandhiryan@ces.iitd.ac.in,MTh 14:00-15:30,,,60,34,ESL749
111,ECONOMICS & PLANNING OF ENERGY SYSTEMS,A,3.0-0.0-0.0,,JIVIKA TATA,gandhiryan@ces.iitd.ac.in,MTh 08:00-09:30,,,60,33,ESL750
112,SOLAR PHOTOVOLTAIC DEVICES AND SYSTEMS,X,3.0-0.0-0.0,,RYAN SHETH,ahujakaira@ces.iitd.ac.in,,,,60,9,ESL755
113,WIND & SMALL HYDRO ENERGY SYSTEMS,E,3.0-0.0-0.0,,YAKSHIT GOLE,ehsaan29@ces.iitd.ac.in,TWF 10:00-11:00,,,60,30,ESL768
114,SOLAR ENERGY UTILIZATION,AD,3.0-0.0-0.0,,SANA DEEP,ehsaanraval@ces.iitd.ac.in,TF 15:30-17:00,,,60,8,ESL770
115,QUANTITATIVE METHODS FORENERGY MANAGEMENT & PLG.,A,3.0-0.0-0.0,,ARNAV LAL,samarthchauhan@ces.iitd.ac.in,MTh 08:00-09:30,,,60,15,ESL774
116,INDUSTRIAL ENERGY & ENVIRONMENT ANALYSI,B,3.0-0.0-0.0,,ZEESHAN TATA,anika91@ces.iitd.ac.in,MTh 09:30-11:00,,,60,18,ESL776
117,Zero Emission Vehicles,M,3.0-0.0-0.0,,ZEESHAN TATA,anika91@ces.iitd.ac.in,MTh 17:00-18:30,,,60,12,ESL780
118,COGENERATION AND ENERGY EFFICIENCY,C,3.0-0.0-0.0,,SANA DEEP,ehsaanraval@ces.iitd.ac.in,TWF 08:00-09:00,,,60,23,ESL784
119,OPERATION AND CONTROL OF ELECTRICAL ENERGY SYSTEMS,J,3.0-0.0-0.0,,JIVIN BHASIN,mangalzara@ces.iitd.ac.in,MTW 12:00-13:00,,,60,19,ESL796
120,Distributed and Decentralized Energy Systems,AB,3.0-0.0-0.0,,GOKUL BIR,zoya26@ces.iitd.ac.in,MTh 15:30-17:00,,,60,27,ESL798
121,SOLAR ARCHITECTURE,H,3.0-0.0-0.0,,LAGAN WALI,raghav54@ces.iitd.ac.in,M 11:00-12:00,,,60,9,ESL840
122,Emerging Materials for Next Generation Photovaltaic Applications,H,3.0-0.0-0.0,,MANJARI THAKER,reyansh21@ces.iitd.ac.in,M 11:00-12:00,,,60,24,ESL852
123,Solar Photovoltaic Power Generation,C,3.0-0.0-0.0,,ONKAR KAUR,yuvraj-grewal@ces.iitd.ac.in,TWF 08:00-09:00,,,60,18,ESL855
124,ADVANCED FUSION ENERGY,F,3.0-0.0-0.0,,TEJAS THAKER,agarwalmiraan@ces.iitd.ac.in,TThF 11:00-12:00,,,60,9,ESL871
125,ALTERNATIVE FUELS FOR TRANSPORTATION,M,3.0-0.0-0.0,,VIHAAN CHANDA,bhandarizoya@ces.iitd.ac.in,MTh 17:00-18:30,,,60,0,ESL875
126,SOLAR THERMAL POWER GENERATION,D,3.0-0.0-0.0,,MADHUP KAPADIA,zaina04@ces.iitd.ac.in,TWF 09:00-10:00,,,60,12,ESL880
127,Introduction to Project Management,L,1.0-0.0-0.0,,JIVIKA TATA,gandhiryan@ces.iitd.ac.in,"W 13:00-14:00 ,TF 18:00-19:00",,,21,21,ESN702
128,Technical Writing,K,1.0-0.0-0.0,,SANA DEEP,ehsaanraval@ces.iitd.ac.in,"W 12:00-13:00 ,TF 17:00-18:00",,,21,21,ESN703
129,Renewable Energy Laboratory,P,0.0-0.0-6.0,,ELA KAPOOR,zara84@ces.iitd.ac.in,,,,21,21,ESP705
130,Renewable Energy Simulation Laboratory,P,0.0-0.0-6.0,,VIHAAN CHANDA,bhandarizoya@ces.iitd.ac.in,,,,60,0,ESP706
131,ENERGY LABORATORY,P,0.0-0.0-6.0,,VIHAAN CHANDA,bhandarizoya@ces.iitd.ac.in,,,,35,28,ESP713
132,Energy & Environment Laboratory,P,0.0-0.0-6.0,,GOKUL BIR,zoya26@ces.iitd.ac.in,,,,25,12,ESP728
133,SEMINAR COURSE ON ENERGY EFFICIENCY,X,0.0-0.0-2.0,,INDRAJIT CHAUDHARI,amira96@ces.iitd.ac.in,,,,25,23,ESQ302
134,SEMINAR COURSE ON BIOENERGY,X,0.0-0.0-2.0,,LAGAN WALI,raghav54@ces.iitd.ac.in,,,,25,18,ESQ306
135,SEMINAR COURSE ON NUCLEARENERGY AND FUTURISTIC USE,X,0.0-0.0-2.0,,YUVAAN GODA,arhaan59@ces.iitd.ac.in,,,,25,26,ESQ307
136,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,PC,ARNAV LAL,samarthchauhan@ces.iitd.ac.in,,,,35,1,JSD801
137,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,ARNAV LAL,samarthchauhan@ces.iitd.ac.in,,,,35,9,JSD802
138,MINOR PROJECT,Q,0.0-0.0-6.0,,DAMINI DIXIT,elakshitripathi@rdat.iitd.ac.in,,,,15,1,RDD750
139,BIOMAS PRODUCTION,J,3.0-0.0-0.0,,VIVAAN WALI,sridharalisha@rdat.iitd.ac.in,MTW 12:00-13:00,,,70,48,RDL700
140,RURAL INDUSTRIALISATION POLICES PROGRAMMES & CASE,E,3.0-0.0-0.0,,TIYA CHOPRA,prerakgokhale@rdat.iitd.ac.in,TWF 10:00-11:00,,,51,67,RDL701
141,RURAL INDIA AND PLANNING FOR DEVELOPMENT,AA,3.0-0.0-0.0,,SAANVI MANDAL,kiararana@rdat.iitd.ac.in,MTh 14:00-15:30,,,30,31,RDL710
142,RURAL ENERGY SYSTEMS,F,3.0-0.0-0.0,,EVA RAVEL,fhari@rdat.iitd.ac.in,TThF 11:00-12:00,,,100,96,RDL722
143,TECHNOLOGIES FOR WATER AND WASTE MANAGEMENT,F,3.0-0.0-0.0,,HANSH GULATI,farhan70@rdat.iitd.ac.in,TThF 11:00-12:00,,,30,26,RDL724
144,ECOLOGICAL PERSPECTIVE OF GROWTH AND DEVLOPMENT,J,3.0-0.0-0.0,,ADVIKA SUBRAMANIAM,zbabu@rdat.iitd.ac.in,MTW 12:00-13:00,,,60,54,RDL725
145,ECOLOGICAL PERSPECTIVE OF GROWTH AND DEVLOPMENT,SU1,3.0-0.0-0.0,,ADVIKA SUBRAMANIAM,zbabu@rdat.iitd.ac.in,,,,0,0,RDL725
146,"HERBAL,MEDICINAL ANDAROMATIC PRODUCTS",M,3.0-0.0-0.0,,YUVAAN RAMASWAMY,pihu31@rdat.iitd.ac.in,MTh 17:00-18:30,,,30,13,RDL726
147,Conservation and Recycling Practices in Rural Areas,B,3.0-0.0-2.0,,ALISHA VARTY,handasamaira@rdat.iitd.ac.in,MTh 09:30-11:00,,,50,56,RDL727
148,Conservation and Recycling Practices in Rural Areas,SU1,3.0-0.0-2.0,,ALISHA VARTY,handasamaira@rdat.iitd.ac.in,,,,0,0,RDL727
149,TECHNOLOGY ALTERNATIVES  FOR RURAL DEVELOPMENT,AA,3.0-0.0-0.0,,NAKUL DANI,basurenee@rdat.iitd.ac.in,MTh 14:00-15:30,,,40,20,RDL730
150,TECHNOLOGY ALTERNATIVES  FOR RURAL DEVELOPMENT,SU1,3.0-0.0-0.0,,NAKUL DANI,basurenee@rdat.iitd.ac.in,,,,0,0,RDL730
151,FOOD QUALITY AND SAFETY,J,3.0-0.0-0.0,,RANBIR VARGHESE,gandhidiya@rdat.iitd.ac.in,MTW 12:00-13:00,,,60,41,RDL760
152,VALUE CHAIN IN AGRO-FOOD PROCESSING,K,2.0-0.0-2.0,,DAMINI DIXIT,elakshitripathi@rdat.iitd.ac.in,"W 12:00-13:00 ,TF 17:00-18:00",,,40,18,RDL761
153,RURAL VALUE CHAIN FOR HOLISTIC DEVELOPMENT,E,2.0-0.0-2.0,,DHARMAJAN KAPADIA,suleahana@rdat.iitd.ac.in,TWF 10:00-11:00,,,50,51,RDL770
154,RURAL VALUE CHAIN FOR HOLISTIC DEVELOPMENT,SU1,2.0-0.0-2.0,,DHARMAJAN KAPADIA,suleahana@rdat.iitd.ac.in,,,,0,0,RDL770
155,"WOMEN,TECHNOLOGY AND DEVELOPMENT",SU1,2.0-0.0-2.0,,HANSH GULATI,farhan70@rdat.iitd.ac.in,,,,0,0,RDL807
156,BIOMASS LABORATORY,P,0.0-0.0-6.0,,VIVAAN WALI,sridharalisha@rdat.iitd.ac.in,,,,20,5,RDP750
157,SEMINAR COURSE - I,X,0.0-0.0-2.0,OE,DAMINI DIXIT,elakshitripathi@rdat.iitd.ac.in,,,,30,30,RDQ301
158,SEMINAR COURSE - II,X,0.0-0.0-2.0,,YUVAAN RAMASWAMY,pihu31@rdat.iitd.ac.in,,,,30,43,RDQ302
159,SEMINAR COURSE - III,X,0.0-0.0-2.0,OE,ADVIKA SUBRAMANIAM,zbabu@rdat.iitd.ac.in,,,,30,32,RDQ303
160,SEMINAR COURSE-IV,X,0.0-0.0-2.0,OE,ALISHA VARTY,handasamaira@rdat.iitd.ac.in,,,,30,49,RDQ304
161,SEMINAR COURSE-V,X,0.0-0.0-2.0,OE,DHARMAJAN KAPADIA,suleahana@rdat.iitd.ac.in,,,,30,34,RDQ305
162,SEMINAR COURSE-VI,X,0.0-0.0-2.0,,TIYA CHOPRA,prerakgokhale@rdat.iitd.ac.in,,,,30,51,RDQ306
